title,text,subject,date,link
"Politsei, kokad, emad, muusikud ja lillelapsed – pildikesi koroonakevade meeleavalduselt","„Valgus, rahu, rõõm ja vägi“ Toompeal, 7. aprillil kella 16 ajal. Päike paistab. Riigikogu hoone ees on sadakond inimest. Politseiautosid paistab üks, politseinikke kaks. Seltskond on kirev. On koroona tõttu töötuks jäänud kokkasid, muusikuid, kelle sissetuleku koroona koomale tõmbas, on talunikke, on vanu hipisid. Siin on tantsuõpetajast üksik­ema. Tema tütar käib esimeses klassis. Koroonapiirangute tõttu tantsutunde ei toimu. „Millest sa elad siis?“ „Eks ma käin linnavalitsuses toetust lunimas. Söön kapsast, peeti, porgandit.“",Eesti Ekspress,2021-04-13T21:30:06.000Z,https://ekspress.delfi.ee/artikkel/93112601/politsei-kokad-emad-muusikud-ja-lillelapsed-pildikesi-koroonakevade-meeleavalduselt
FOTOD | Protest jätkub: Toompeale toodi meelt avaldama ka maimikud,"Kui hommikutundidel oli kohale kogunenud umbkaudu paarkümmend inimest, siis keskpäevaks oli arv kasvanud juba mitu korda suuremaks. Põhja prefektuuri kriisistaabi juht Valdo Põder vahendas, et olukord oli politsei silmis hommikupoolikul rahulik. ""Politseinikud aitavad saabunud inimesi suunata hajutatud gruppidesse nii, nagu kehtivad piirangud ette näevad,"" märgiti politsei pressiteenistusest. ""Inimesed on mõistvad ja ühtki vahejuhtumit esinenud ei ole."" Delfi fotoreporteril tuli siiski omast kogemusest märkida, et mõningaid politseinikega vaidlejaid siiski leidus - suunitlused korrakaitsjatelt olid seotud koroonaviiruse ohutusmeetmete tagamisega. Ühel hetkel saabus kohale saabunud ka politseibuss, mille kõlaritest lasti kohalviibijaile avaliku korra suhtes kehtivaid reegleid. Maske kanti üritusel väga vähe, paljud inimesed kallistasid üksteist. Fotoreporteri sõnutsi oli meeleavaldajate seas näha ka tuttavaid nägusi hoopis teistlaadi protestilt, mis leidis aset aastaid tagasi. ""Üks kunagine Haabersti hõberemmelga kaitsja on näiteks siin,"" kirjeldas Andres Putting nähtut. Lisaks lõigati lahti kringlit, mida jagati protestijaile kõhukosutuseks. Suutäite vahele lauldi ka Eesti hümni. Külmast tuulest ja kõledast ilmast hoolimata oli üsnagi palju näha tänasel protestil lasteaiaealisi lapsi, kellele vanavanemad olid pihku pistnud Eesti lipu. Meeleolu oli loomas ka Tõnis Mäe ""Koitu"" mängiv must mikrobuss, mille tagumist klaasi ehivad kleebistena ""#fakepandemic"" ja ""sõnavabadus"".",Delfi,2021-04-10T08:33:40.000Z,https://www.delfi.ee/artikkel/93094891/fotod-protest-jatkub-toompeale-toodi-meelt-avaldama-ka-maimikud
Uus hõberemmelgas? Kohalikud tunnevad muret haruldase Tiskre leinamänni tuleviku pärast,"Tõenäoliselt mäletavad paljud, kuidas 2017. aasta kevadel maadeldi mitu nädalat selle üle, et Haabersti ringristmiku rajamine ei saaks saatuslikuks ehitusele ette jäänud hõberemmelgale. Lõpuks võeti tee rajamist takistanud puu siiski maha. Üsna sarnane mure on üles kerkinud seoses Tallinna linnavalitsuse hiljutise otsusega hakata ehitama paari kinnistut Tiskres, kus asub Baltikumis ainulaadne leinamänd. Tallinna linnavalitsus otsustas oma 21. oktoobri korraldusega, et hakkab kahele Tallinna linna omandis olevale kinnistule – aadressidel Tiskre tee 21 ja Tiskre tee 21a – rajama lasteaed-põhikooli koos parklaga. Kuigi paljudele tallinnlastele ei ütle need aadressid mitte midagi, mäletavad kohalikud aga ligi 20 aasta tagust Postimehe artiklit, kus räägiti, et autotee rajamine ähvardab Tiskres hävitada vanad tammed. Nimelt avastas Eesti dendroloogiaseltsi president Aino Aaspõllu toona just Tiskre tee 21 vahetusläheduses haruldase leinamänni, mis on 166 sentimeetri jämedune ja sajandivanune. Selle puu säästmiseks otsustas piirkonnas kinnisvara arendamisega tegelenud KMG Ehitus tõmmata oma plaanides kriipsu peale kaheksale elamule ning haruldase puu säästmiseks nihutada ka tee asukohta viie meetri võrra.",Ärileht,2020-11-21T06:50:02.000Z,https://arileht.delfi.ee/news/uudised/uus-hoberemmelgas-kohalikud-tunnevad-muret-haruldase-tiskre-leinamanni-tuleviku-parast?id=91727447
"MIS SAAB HOMME? | Mati Puss: mis tähtsust on sellel, et EKRE on valitsuses ja kliima soojeneb, kui oleme vaimselt surnud?","Keskkonnakriisi aina aktuaalsemaks muutudes püüavad erinevad ideoloogiad välja pakkuda oma maailmavaatest tulenevaid lahendusi, aga nii liberalism kui konservatism ei käsitle keskkonnaprobleeme koos globaalse sotsiaalse ebavõrdsusega, mis on erinevate barbaarsete nähtuste peamine põhjus. Kahjuks on ka vasakpoolsus ise kriisis, selle erinevad suundumused takerduvad liberaalide ja konservatiivide püstitatud vastandustesse ning ei suuda seetõttu välja käia häid toimivaid lahendusi. Konservatiivsed tehnopessimistid seisavad vastu keskkonnale negatiivselt mõjuda võivatele tehnoloogilistele arengutele nagu näiteks Rail Baltic. Radikaalsemad ökokonservatiivid näevad lahendusena tagasipöördumist tehnoloogiliselt primitiivsema ja kultuuriliselt konservatiivsema kogukondliku elu juurde. Kui arengute käigus toimub läbikukkumisi ning tuntakse, et midagi on kaotatud, siis on loomulik, et tagajärgedeks võivad olla ettevaatlikus ja retro-romantism. Otsekui süvausklikud Seda tendentsi kohtab ka Eesti konservatiivses vasakpoolsuses: modernistlikud avangardistid, kes kuulutasid kommunismi, transgressiivseid kunste ning individualistlikku ekstravagantsust, pöördusid heaoluriigi šovinismi, post-kolonialistlikusse enesehaletsusse ja nostalgilisse looduromantismi. Soovis hingelisemate suhete järgi keskkonna ja teiste inimestega ei ole iseenesest midagi halba, aga probleem tekib siis kui hüljatakse emantsipatsioon - püüd individuaalse vabaduse ja kultuurilise arengu poole - ning seda toetav tehnoloogiline areng. Sellist käitumist võib võrrelda konservatiivsete usklike omaga, kes ei suuda oma religioossust integreerida kaasaegsete arusaamadega ning vihases fundamentalismis labastavad ka usulise kogemuse. Keskkonnaaktivismi vallas on Eestis selle näiteks Haabersti hõberemmelga kaitsmine: ühest puust tehti fetišistlik objekt, sest puudus vaimne võimekus kodanikuühiskonnana intellektuaalselt kaasa rääkida oma kodukandi keskkonnasõbraliku, esteetiliselt nauditava ja inimsuhteid toetava haljastuse kujundamisel. Jääb eliidi pärusmaaks Liberaalsed tehnooptimistid näevad keskkonnaprobleemide lahendustena indiviidide tarbimisharjumuste muutumist, sellele vastavaid ökotooteid ning uudseid tehnoloogiaid vabal turul. Sellised meetmed ei ole iseenesest valed, aga liberaalide probleem on see, et nad tahavad jätkusuutliku arengut teostada ilma radikaalsete süsteemsete muutusteta ja sel juhul jääb keskkonnasõbralik käitumine eliidi pärusmaaks ega motiveeri laiu masse teistmoodi elama, sest klassihierarhiatest tulenevalt on nad muudetud lihtsalt tööloomadeks üldises tootmise masinavärgis. Heaks näiteks vastuhakust vähemate võimalustega inimeste nurka surumisele on kollavestide mäss kütuseaktsiisi tõusu vastu Prantsusmaal. Klassivahede süvendamine ehk barbaarsus ülevalt poolt killustab inimrühmi ja kui etnotsentrismile puudub elujõuline rohujuuretasandilt solidaarsust ehitav alternatiiv on tulemuseks barbaarsus altpoolt, mille näiteks on jällegi Prantsusmaa ja Marie Le Peni populaarsus seal. Omandi kollektiviseerimine USA-s ja Euroopas viimastel aastatel populaarsust koguv idee Rohelisest Uuest Kursist (Green New Deal) põhineb arusaamal, et ühiskond peab muutuma nii keskkonnasõbralikumaks kui ka sotsiaalselt õiglasemaks. Selleks, et Roheline Uus Kurss ei manduks lihtsalt tsentrist veidi vasakule jäävaks liberaalseks lahenduseks, kus tegeletakse ainult maksude ja investeeringutega, on vaja kollektiviseerida ka omandit, sest ainult sel juhul on suuremal hulgal rahvast sellest tõeliselt kasu. Näiteks taastuvenergiale üleminek on väga vajalik, aga elektritootmise vahendid ei pea kuuluma ainult vähestele eraettevõtetele, kes selle kaudu rikastuvad, vaid nende omanikuks võib olla ka ühistu, kohalik omavalitsus või aktivistide kommuun. Selliselt toimivaid näiteid on juba Põhjamaades olemas. Eestis seostub sõnaga sotsialism eelkõige nõukogudeaegne nüri autoritaarsus, aga tegelikult on vasakpoolsete poliitiliste meetmete spekter väga lai. Kaasaegse demokraatliku sotsialismi eesmärk võiks olla just see, millega liberaalid ja konservatiivid hakkama ei saa: toetada nii suuremat individuaalset vabadust kui ka kogukondlike suhteid. Näiteks mitmetes maapiirkondades on loodetud liiga palju vaba turu mehhanismidele ning nõnda on jäetud munitsipaalne kinnisvara hooletusse. Samas nõudlust nii korralike munitsipaalkorterite (individuaalne vabadus ehk „Ei pea ämma perse taga elama."") kui kultuurimajade (toetavad kogukondlikud suhted) osas on olemas. Vajame kommuune Omandiküsimustest veelgi teravam probleem on see, kuidas organiseerida tööd ehk kuidas jõuda kokkuleppele teha koostööd ühiste eesmärkide nimel. Tootmise automatiseerimine võimaldab küll vähendada inimtööjõu vajadust selles vallas, aga tööd, mille sisuks on keskkonna ja inimeste hoidmine ning nende eest hoolitsemine, jäävad endiselt alles. Selleks, et vastutust nende tööde eest ühiskonnas võrdsemalt jagada, on vaja erinevaid lahendusi alates kommuunidest kuni riikideülese tsiviilteenistuseni. Loomulikult ei kõla loosung „Kes ei taha töötada, ärgu ka söögu!"" (2Ts 3:10) nii ahvatlevalt kui kuulutus varsti saabuvast täisautomatiseeritud luksuslikust kommunismist, aga see, kes ei ole valmis panustama ühistesse hüvedesse, vaid tahab teiste nahal liugu lasta, pole praktikas mitte sotsialist. vaid kodanlik liberaal. Siin peitub ka üks põhjus, miks Eestis puuduvad tõsised vasakpoolsed arutelud. Aastakümneid on Eestis vasakpoolsuse all peetud silmas individualistliku eneseupitamist, moraliseerimist ja ülbitsemist. Kui mingid haritlaste lapsed karjuvad pidevalt „Mendid! Mendid"", siis peetakse neid kõvadeks mässajateks, aga keegi ei osuta sellele, et need tüübid on ise osa kodanlikust establishMENDist. Kohalikus feminismis ülistatakse kunstisaalides roosat puuksu laskvaid printsesse, küsimata seejuures, miks me elame endiselt ühiskonnas, kus on au sees printsessid ja snobism. Tõsist arutelu klassisuhete üle kardetakse, sest selle käigus võib paljastuda ka rääkija enda positsioon ning tõstatuda ebamugav küsimus: „Mis on need ühised eesmärgid, mille nimel me peaksime koos töötama?"" Enne lõpeb maailm kui kapitalism Ajastul, kus igapäevaselt hirmutatakse läheneva apokalüpsisega, tuleks legendaarne ütlus, et kergem on ette kujutada maailma lõppu kui kapitalismi lõppu, sõnastada ümber küsimuseks: „Milleks hoolida maailma lõpust, kui ajalugu on juba lõppenud?"" Mis tähtsust on sellel, et EKRE on valitsuses ja kliima soojeneb, kui oleme vaimselt surnud, ehk teistsugune, elav vaimsus meie sees ja meie vahel ei ole enam võimalik? Mis mõte on maailmal, kus puuduvad sügavad inimsuhted mille kaudu areneda ning kus ei ole võimalik koos olnut mõtestada ning entusiastlikult uut kultuuri luua? Liberaalsete ja konservatiivsete vasakpoolsete puhul ei ole probleemiks ainult see, et nad ei ole piisavalt materialistlikud, vaid ka see, et nad ei ole piisavalt idealistlikud - nad on kaotanud usu kultuurilise arengu jätkumisse. Üks tont käib ringi... Siiski üks tont käib ringi mööda Euroopat, aga see ei ole hallitanud mehhanistliku ja anti-humanistliku kommunismi tont. Sellest hoolimata on liberaalid ja konservatiivid sulgunud tubadesse, mille nad on hirmust muutuste ees täis pasandanud. Kaunishingedest konservatiivid on mattunud nostalgiasse, sest nad tunnevad alaväärsust Lääne kultuuri ees ega suuda läbi organiseerumise ühendada kohalikku tasandit kaasaegsesse globaalsesse vasakpoolsesse mõtlemisse. Liberaalid/ libertaarlased on soovist oma moraalset üleolekut tõestada teinud kogu poliitika sisuks enese näitamise ja teistele näpuga vibutamise. Kui aga soovitakse enda identiteeti ülemaks pidada, eitatakse enda inimlikkust ja nõnda lõhutakse võimalused erinevateks solidaarsusteks. Hetkel, mil ühiskonnas valitseb konsensus, et ajalugu (historia) on lõppenud, on aga vaja hüsteerikuid, kes ei suudaks sellega leppida ja riskiksid teha akna lahti, et värske õhk saaks ergutada mõtlemist ning Püha Vaim saaks tulla meie peale ja meie elu uueks luua.",Eesti Päevaleht,2019-11-24T11:00:42.000Z,https://epl.delfi.ee/arvamuskonkurss/mis-saab-homme-mati-puss-mis-tahtsust-on-sellel-et-ekre-on-valitsuses-ja-kliima-soojeneb-kui-oleme-vaimselt-surnud?id=88157181
Tallinnas langetatud puu võib tõrjuda Nordeconi idapiiri ehitushankelt,"Kahe aasta eest loata raiutud puu võib aktsiaseltsi Nordecon idapiiri ehitushankelt kõrvale jätta. Ettevõte tunnistab küll puu raiumist, kuid rõhutab riigihangete vaidluskomisjonile, et nii väike asi ei tohiks hanget mõjutada, kirjutab ERRi uudisteportaal. 2017. aasta suve üks suuremaid meediasündmusi oli Haabersti hõberemmelga hipilaager. Aktsiaselts Nordecon ehitas ümber sealset ristmiku ja võis maha raiuda 795 puud. Remmelga raiumine paljudele ei meeldinud ja lõpuks muutus pahandus nii suureks, et politsei vedas aktivistid süles minema. Aga hoopis teistsugune lugu pandi idanema 200 meetrit eemal Päevalille tänava ääres. Nimelt seisis seal üks puu, mille raiumiseks Nordeconil luba polnud. Aga ettevõtte juhatuse liige Ago Voogma tunnistab, et kuidagi võeti puu ikkagi maha. Tänavu viimasel jaanuaripäeval hakkas politsei- ja piirivalveamet otsima ettevõtet, kes projekteeriks ja ehitaks valmis esimese pikema jupi idapiiri. PPA-le esitatud seitse taotluse seas olid kõik meie suured tegijad, näiteks TREV-2 Grupp ja Merko Ehitus, aga ka YIT Eesti, Rand ja Tuulberg ning Nordecongi. Kui amet taotlusi lähemalt uuris, selgus aga, et üksik Haaberstis raiutud puu laiutas Nordeconi plaanidel risti ees. Loe pikemalt ERRi uudisteportaalist.",Ärileht,2019-07-12T13:25:17.000Z,https://arileht.delfi.ee/news/uudised/tallinnas-langetatud-puu-voib-torjuda-nordeconi-idapiiri-ehitushankelt?id=86824659
"Metsaaktivist Indrek Vainu: ma ei tahtnud ministritele hirmu nahka ajada, soovisin vaid küsimustele vastuseid saada","Kas see on õige, et te läksite keskkonnaminister Siim Kiisleriga kohtuma ja panite tema lauale kasti, et pakkige asjad kokku? Päris nii see ei olnud. Oli üks üritus, kus ka Kiisler oli kohal, ja sel ajal, kui kohvi joodi, ma käisin korra üleval ära ja panin Kiislerile laua peale kolimiskasti. See oli üks aasta alguse olukord, kus plaaniti praegust Isamaad välja vahetada Vabaerakonna vastu. Ma mõtlesin, et jooksen natukene ajast ette ja aitan Kiisleril kasti valmis panna. No ikka sõber peab aitama. Kahjuks see poliitiline vangerdus jäi ära. See, mis te Janek Mäggi juures tegite, oli teater? See oli demonstratsioonesinemine. Seda võib mingis mõttes teatriks nimetada, aga tegu oli ikkagi meeleavaldusega. Meeleavaldus ministri kabinetis. Minister ise ütleb ja on seda ka varem öelnud, et rahvas on eriplaneeringu osa ja pole täpselt selge, mida see tähendab. Ja ta ei suutnud sellele küsimusele tegelikult vastata. Minu intensiivsus rääkimisel oli selline, et sel hetkel võis see tunduda veidike ründav. Aga kindlasti ei olnud midagi sellist “oleks tal olnud relv” ega kavatsenud keegi ministrit aknast välja visata. See on luuleline, emotsionaalne tõmblemine ministri poolt. Kus saab näha nimekirja inimestest, kes on teie MTÜ-le raha annetanud? Kas te olete mõistuse juures? Kuidas niisugust asja teha, ilma et me rikuksime seadust?",Maaleht,2018-11-11T14:00:02.000Z,https://maaleht.delfi.ee/elu/metsaaktivist-indrek-vainu-ma-ei-tahtnud-ministritele-hirmu-nahka-ajada-soovisin-vaid-kusimustele-vastuseid-saada?id=84273519
"Metsaaktivist Indrek Vainu: andke mulle kirves kätte, võin päris ilusaid asju teha!","Kas see on õige, et te läksite keskkonnaminister Siim Kiisleriga kohtuma ja panite tema lauale kasti, et pakkige asjad kokku? Päris nii see ei olnud. Oli üks üritus, kus ka Kiisler oli kohal, ja sel ajal, kui kohvi joodi, ma käisin korra üleval ära ja panin Kiislerile laua peale kolimiskasti. See oli üks aasta alguse olukord, kus plaaniti praegust Isamaad välja vahetada Vabaerakonna vastu. Ma mõtlesin, et jooksen natukene ajast ette ja aitan Kiisleril kasti valmis panna. No ikka sõber peab aitama. Kahjuks see poliitiline vangerdus jäi ära. See, mis te Janek Mäggi juures tegite, oli teater? See oli demonstratsioonesinemine. Seda võib mingis mõttes teatriks nimetada, aga tegu oli ikkagi meeleavaldusega. Meeleavaldus ministri kabinetis. Minister ise ütleb ja on seda ka varem öelnud, et rahvas on eriplaneeringu osa ja pole täpselt selge, mida see tähendab. Ja ta ei suutnud sellele küsimusele tegelikult vastata. Minu intensiivsus rääkimisel oli selline, et sel hetkel võis see tunduda veidike ründav. Aga kindlasti ei olnud midagi sellist “oleks tal olnud relv” ega kavatsenud keegi ministrit aknast välja visata. See on luuleline, emotsionaalne tõmblemine ministri poolt. Kus saab näha nimekirja inimestest, kes on teie MTÜ-le raha annetanud? Kas te olete mõistuse juures? Kuidas niisugust asja teha, ilma et me rikuksime seadust?",Maaleht,2018-11-07T22:07:14.000Z,https://maaleht.delfi.ee/archive/metsaaktivist-indrek-vainu-andke-mulle-kirves-katte-voin-paris-ilusaid-asju-teha?id=84234537
"Riina Solmani pere pääses napilt tragöödiast: minu poeg ronis just auto peale, kui puu varises","Tallinna volikogu Isamaa fraktsiooni juhi esimees Riina Solman jagas Facebookis täna hommikul juhtunud õnnelikku õnnetust, kus tormist räsitud hõberemmelgas langes vaid napi meetri kaugusele autost, kus istusid Solmani mees ja poeg. ""Vaid hetk tagasi murdus meie hōberemmelgas tormiga lōplikult, inimesed jäid terveks, aga mitte kōik autod. Minu väike poiss ronis just auto peale, kui puu varises. Abikaasal pidi süda seiskuma,"" kirjeldas poliitik juhtunut Facebooki postituses. Õnneks jõudis Päästeamet kohale kõigest viie minutiga ja ainsaks kannatajaks jäi naabrite auto. ""Ōnneks säästis langemisnurk minu poisse ja auto sai ise välja tagurdada"", kirjutas Solman ja püstitas küsimuse, et kui mõistlik on ehitada uusarendusi suurte puude juurde. ""Kurioosseks teeb selle loo asjaolu, et hõberemmelgas seisab väikelaste mänguväljaku vahetus läheduses ning on juba korra osaliselt maha sadanud. 1.juunil kella 23.30 paiku öösel murdusid sama puu esimesed kolm haru. Need ei ole mitte üksnes oksad, harude tüvede kohta võib julgelt öelda jäme palk, saetuna puupakk. Üks langes risti üle sõidutee, nii et ei saanud enam kvartalist sisse-välja sõita, üks langes majale, meie ning naabrite aknale ja kolmas laste mänguväljakule. Keegi tol korral viga ei saanud, sest oli öö,"" sõnas Solman Delfile. ""Majahaldur suhtles tookord linna keskkonnametiga otse ja taotles raieluba. Sellest keelduti ja anti välja hoolduslõikusluba. Kohale tulnud arboristid, kes puud pügasid, ütlesid aga majarahvale, et puu on täiesti mäda ja tuleb maha võtta."" ""Kokkuvõtteks – kas tõesti on Haabersti hõberemmelga saaga linnaametnikud ära hirmutanud või nad lihtsalt ei hooli? Majahaldur taotles raieluba, sellest keelduti, anti välja hoolduslõikusluba ning puud lihtsalt pügati. Sellest hoolimata, et oli arboristide hinnang, et puu on mäda ja ohtlik,"" toonitab poliitik. ""Selliseid puid on linn ja pargid täis. Seda teemat tuleb lähemalt uurida enne, kui keegi inimestest viga saab. Inimesed ikka ennekõike, siis puud!""",Kroonika,2018-09-27T08:47:56.000Z,https://kroonika.delfi.ee/news/inimesed/riina-solmani-pere-paases-napilt-tragoodiast-minu-poeg-ronis-just-auto-peale-kui-puu-varises?id=83803133
"VIDEO | Haabersti remmelga surma-aastapäev: ma siis oma trummiga jaurasin siin ja tuli välja, et see segas riiklikku järelvalvet!","Morbiidse daatumi puhul kogusime kokku kolm puukaitsjat, kes kirjeldasid meile hõberemmelga eest seismise põhjuseid ning seda, kuidas nende jaoks juhtunu edasi on arenenud. Kas mullune aktivism läks täie ette või oli tagantjärele hinnates tegu ikkagi ajaraiskamisega? Hõberemmelgas kui kohalike elanike heaolu sümbol Õismäe põlisasuka Märdi jaoks oli remmelgas sümboliks tervislikule ja kvaliteetsele elukeskkonnale, mida Haabersti ristmiku planeeringuga tema silmis hävitama kiputi. Kui 2015. aastal mõõdeti Haabersti ristmikuga piirneval alal müratasemeks 60-65 detsibelli, siis 2018. aasta alguses mõõtis Terviseamet müratasemeks juba üle 85 detsibelli. ""Konkreetseks detsibellide arvuga minna ei saa, kuna see oleneb kasvõi sellisest pisiasjast nagu tuule suund,"" arvab keskkonna ja kvaliteedi haldusega tegelev Märt. Fakt on aga see, et tervisele kahjulikuks peetakse 60 detsibelli lävendi ületamist, mis oli tasemeks juba enne seda, kui müra kaitsev puude vöönd kortermajade kõrvalt eemaldati. Peale remmelga langetamist ja teetööde jätkumist läks Märdi sõnul elu kohalikul tasandil huvitavaks. Süvenetakse erinevatesse asjaoludesse, mis räägivad vastu Haabersti ristmiku projekti säilimisse praegusel kujul. Ka Muinsuskaitseamet on asunud juhtumit kommenteerima, märkides ära, et Õismäe asub tervikuna arhitektuuripärandi registris. Kuna Õismäe projekti sisse kuulus ka teekaitserajatis, uuritakse, kas seda võib olla võimalik taastada. Seega remmelgaga alanud intsident pole Märdi silmis veel lõppenud, vaid alles liigub lahenduse leidmiseni. Remmelgas ei toonud inimesi kokku mitte hetkeks, vaid terveks eluks Puukaitsja Rinaldo sattus hõberemmelga alla esiti seetõttu, et tal polnud öötundideks katust, mille all põõnata. Puualused kohtumised ja nähtud inimesed pugesid talle sedavõrd hinge, et teda sai näha ka remmelga saaga lõppvaatusel aia taga kirglikult meelt avaldamas. ""Ma õppisin siin tundma ja nägema teiste inimeste heatahtlikkust. See puu oli iseenesest juba midagi nii võimsat ja ilusat,"" meenutab Rinaldo ning võrdleb tollast olemist džunglis viibimisega. ""Meie loodus ongi tegelikult külm džungel."" Mis juhtus Rinaldo elus peale puu langemist? Rinaldole määrati trahv puu langetamise päeval trummi mängimise eest. ""Ma siis oma trummiga jaurasin siin ja tuli välja, et see segas riiklikku järelvalvet, et see oli riikliku järelvalve takistamine,"" muljetab mees. ""Oli siis neli istungit, väitmaks seda, et ma seda ei teinud, et ma ei takistanud mitte kedagi."" Kogu protsessi võtab Rinaldo praegu enesearenguna. Näiteks õppis ta tundma Eesti kohtusüsteemi seespoolt ning harjutas end situatsiooni jälgima nii osaleja kui ka kõrvaltvaataja silme läbi. Kohtust väljus Rinaldo võitjana. Remmelgas viis Rinaldo kokku oma praeguse elukaaslasega. Mees mäletab kohtumise hetke eredalt. ""See oli vihmane ilm, ma olin siin puu otsas, sättimas Eesti lippu,"" meenutab ta kohtumislugu sooja pilguga. ""Üks väike poiss oli puu ja kiige peal tõmmanud selle Eesti lipu vimpli lahti ning mina läksin seda parandama. Kasutasin selleks oma kõrvaklappe."" Sel hetkel jõudis puu alla Rinaldo praegune elukaaslane. ""Ma olin puu otsas, kui mina nägin teda ja tema nägi mind,"" sõnab Rinaldo. ""See on tõesti elu nagu muinasloos."" Paar päeva enne remmelga saagimisest aasta möödumist sündis paaril ühine laps. Remmelga kaitsjad andsid Eesti inimesele mõista, et tuleb väljuda mugavustsoonist Tõnise jaoks oli remmelga kaitsmise puhul liigutavaks jõuks eestlaste kaugenemine loodusest. Ta nägi seda protestiaktsiooni kui võimalust ühiskonna poolt mugavustsooni paigutatud inimestele näidata, et leidub inimesi, kes hoolivad loodusest ja eesti rahvast. Tõnise silmis on meie riigi rahvas ellujäämiskursustel. ""See tähendab, et me peame hakkama ise mõtlema oma sisetunde järgi, mitte nii, nagu meile mugav on,"" räägib Tõnis. ""Ma arvan, et tõime tähelepanu punkti selle, et siiski inimestel on hääl ja kui nad tõesti soovivad, nad saavad seda väljendada, aga nad peavad ise hakkama enda elude eest vastutust võtma, mitte tegema mugavusotsuseid.""",Delfi,2018-06-27T18:17:56.000Z,https://www.delfi.ee/news/paevauudised/eesti/video-haabersti-remmelga-surma-aastapaev-ma-siis-oma-trummiga-jaurasin-siin-ja-tuli-valja-et-see-segas-riiklikku-jarelvalvet?id=82837561
JUHTKIRI | Aasta aega Haabersti hõberemmelgata,"Vanasõnaga „hundid söönud ja lambad terved” lahendust siiski iseloomustada ei saa, sest vähemalt praegu kujutab ristmik endast autostumise ausammast, millest jalakäijatel ja jalgratturitel on targem eemale hoida. Võib-olla pärast kergliiklusteede valmimist, mis on jäetud viimaseks, läheb olukord nende jaoks pisut paremaks. Ohjeldamatult rõõmsad ei saa olla isegi autosõitjad, sest näib, et läks nii, nagu rajatise kriitikud ennustasid: ummikud on nihutatud teise kohta. Reidi tee puhul, mille vastu hulk inimesi tükk aega samuti ägedalt protestis, võeti linnaloodust autoteedele eelistavate inimeste soove lõpuks mõnevõrra arvesse. Tänavu veebruaris nõustus Tallinna linn pärast kaks kuud rühmitusega Merelinna Kaitseks peetud läbirääkimisi vähendama kavandatud tee sõiduradade hulka ja tegema muid väiksemaid järeleandmisi. Seda linnakodanike kaasamise edulooks nimetada oleks palju, aga kahtlemata saavutasid linnalooduse kaitsjad Reidi tee puhul rohkem kui Haabersti ristmikul. Üks asi, mis Reidi tee puhul parema tulemuse tagas, oli see, et vastuseisu hakati väljendama tee-ehituse varasemas järgus. Hõberemmelga kaitsele viskusid aktivistid ju alles siis, kui puid juba langetati ja tehti ettevalmistusi ehitustöödeks. Reidi tee vastast kampaaniat alustati siis, kui projekt oli küll valmis, aga kohapeal midagi veel ei tehtud. Ka vastuseisu sisukus oli erinev. Reidi tee kompromisskokkuleppe saavutasid end õigusega eksperdirühmituseks nimetavad inimesed, kuid Haabersti remmelga ümber käis selline trall, et isegi osa loodusest hoolivaid inimesi ei tahtnud sellega liituda. Tore oleks nüüd öelda, et oma seisukohtade varane ja argumenteeritud esitamine suurendab nende arvesse võtmise šanssi. Kahjuks ei ole see alati kindel, sest võimud alles õpivad kaasamist ja tihti üsna vastumeelselt. Võimupoliitikud, ärijuhid ja aktivistid, õppige dialoogi pidama, see annab parema tulemuse.",Eesti Päevaleht,2018-06-26T21:05:33.000Z,https://epl.delfi.ee/arvamus/juhtkiri-aasta-aega-haabersti-hoberemmelgata?id=82828401
