title,text,subject,date,link
Soome puidukontserni UPM asepresident Kaido Kukk: puidukeemia pole kaugeltki vaid WC-paber Hiina turule,"| METSALEHT |Puidu väärindamisel on palju erinevaid tahkusid, aga olgu see puidu kasutamine ehituses, puidust laiatarbekaupade tootmine, puidu rafineerimine või puidukeemia – kõik need arengud peaksid lähtuma süsinikuneutraalsuse põhimõttest. Vaata siit, millest Maalehe värskes numbris veel juttu! Kui Eestis asuvad puiduettevõtted tegutsevad siiani peaasjalikult puidu mehaanilise töötlemise vallas, siis mujal maailmas on üha enam levimas n-ö puidukeemiaga tööstus, mille tooraine on küll puit, aga mille toodangut me esmapilgul puiduga seostada ei oskagi. Need on näiteks puidukiust valmistatud kangad, plastilaadsed tooted jmt. Soome puidukontserni UPM asepresident Kaido Kukk on omal ajal olnud pikalt tegev vineeritööstuses, aga viimased pea kuus aastat tegeleb ta UPMis puidupõhiste lahenduste otsimisega plasti asendamiseks. Need on näiteks biokomposiitmaterjalid ja puidupõhised kiud, mis võiksid tulevikus asuda laiatarbesse praeguseks juba kogu maailmas nuhtluseks muutunud plasti asemel. Kaido Kukk on seda meelt, et innovatsioon puiduvaldkonnas liigub tõepoolest puidu mehaaniliselt töötlemiselt puidu keemilisele töötlemisele, kusjuures see on midagi märksa keerulisemat ja spetsiifilisemat kui traditsioonilisse vormi surutud tselluloositootmine.",Maaleht,2021-09-29T11:01:40.000Z,https://maaleht.delfi.ee/artikkel/94693231/soome-puidukontserni-upm-asepresident-kaido-kukk-puidukeemia-pole-kaugeltki-vaid-wc-paber-hiina-turule
"Kohtla-Järve veerele planeeritav tselluloositehas annaks põlevkivikaevuritele töö ja tuleviku, aga mida saaks teised?"," Vaata siit, millest Maalehe värskes numbris veel juttu! Kunagise kaevanduslinnaku Kohtla-Nõmme koolimaja saalis on mitukümmend inimest kuulamas VKG juhtide tehase ehitamise plaani. Meeleolu on asjalik, arutlev.Kõige tähtsama mehe Ahti Asmanni suust kõlab kõige tähtsamana: “See on siinsete inimeste endi otsustada, kas tehas siia tuleb!” Ka teises ja kolmandas sõnastuses. Mõte jääb samaks. Sarnaseid avalikke arutelusid hakkab hulgi olema, lisatakse.Kuigi otsesõnu seda keegi kohtumisel koolisaalis välja ei ütle, on põlevkivikeemikuil rohepöörde tõttu vesi ahjus. Keegi täpselt ei tea, millal poliitikud põlevkiviga toimetamisele kriipsu peale tõmbavad. Üheks võimaluseks ongi nüüd biotooted ehk tselluloosid, mille tooraineks puit. VKG väljaõppinud töötajad, keskmise palgaga nii umbes 1700 eurot, vajavad tööd ka homme, vaevalt et kõik väikeettevõtjaks hakkavad.Kohalikul rahval on jälle omad suured mured, mis kohtumisel kõlamas.",Maaleht,2021-09-08T21:05:41.000Z,https://maaleht.delfi.ee/artikkel/94526643/kohtla-jarve-veerele-planeeritav-tselluloositehas-annaks-polevkivikaevuritele-too-ja-tuleviku-aga-mida-saaks-teised
Kliimaeesmärgid panevad suure trahvi ähvardusega Eesti metsa langetamisele piirid ette,"• Vaidluses, kui palju võib aastas puid raiuda, muutub määravaks metsa võime süsinikku talletada.• Liiga hoogsalt kirvega toimetades võib mets muutuda süsiniku sidujast CO2 vallandajaks.• Kui mets ei seo loodetud määral CO2, tuleks riigil osta kvooti, mis võib maksta aastas sadu miljoneid eurosid. Mitu keskkonnaministrit on juba alla andnud. Vaidlus küsimuse üle, kui palju oleks paras Eestis aastas metsa raiuda, on üks poliitiliselt tulisemaid kartuleid üldse. Ühel pool on metsa kasutav majandus: puidutööstuse eri harud, energiatootmine jne. Neile näib, et Eestis on raieküpset metsa päris palju, mida kinnitab ka statistika. Peaaegu 40% metsa on rohkem kui 60 aastat vana. Mõistlik oleks ju kasutada loodusvara ära enne, kui see ise pikali kukub ja ära kõduneb? Teisel pool on keskkonnakaitsjad, aga ka metsa tähtsaks pidav rahvas. ",Eesti Päevaleht,2021-09-05T21:05:09.000Z,https://epl.delfi.ee/artikkel/94506799/kliimaeesmargid-panevad-suure-trahvi-ahvardusega-eesti-metsa-langetamisele-piirid-ette
Kristina Kallas: Ratase teine valitsus on veel hullem kui Reformierakond,"Erakonna Eesti 200 juht Kristina Kallas toetab samasooliste abielu ja pole nõus EKRE-ga koostööd tegema isegi siis, kui see aitaks Tallinnas Keskerakonda kukutada. Eesti 200 toetuse üle valimiskünnise tõstnud erakonnajuht räägib intervjuus nii Eesti 200 plaanidest kohalikeks valimisteks kui ka sellest, miks loeb ta Poola ajalehti.",Eesti Päevaleht,2020-10-27T15:26:45.000Z,https://epl.delfi.ee/uudised/kristina-kallas-ratase-teine-valitsus-on-veel-hullem-kui-reformierakond?id=91378209
Kirju karjääriga ekssuusatajast Kaspar Kokkast on saanud Isamaa suursponsor,"Lahke finantseering parteile näib iseenesest üdini mõistetav: Kokk saab alates 2013. aastast nimetada end erakonna liikmeks, aastast 2018 lausa Isamaa Tartu piirkonna esimeheks ning aastaringi eest kaasati ta ka partei eestseisuse hulka. Rahalisi annetusi on endine murdmaasuusataja teinud Isamaale tihtipeale mitmes jaos: meelissummadena torkavad silma just 5000-eurosed ülekanded, ent erakondade rahastuse järelevalve logiraamatus võib kohata tema nime taga ka 3000-/4000-/6000-euroseid rahaportse.  Miks avas mees oma rahakotirauad partei hüvanguks kolm aastat peale liitumist? Kas ettevõtja planeerib pisitasa vahetada taas elukutset ning suunduda täiskohaga poliitikasse?",Delfi,2020-08-26T09:43:15.000Z,https://www.delfi.ee/news/paevauudised/eesti/kirju-karjaariga-ekssuusatajast-kaspar-kokkast-on-saanud-isamaa-suursponsor?id=90822727
Stora Enso tippjuht: metsade raiumine päästab maailma ülekuumenemisest,"Puidu kasutamine energia tootmises väheneb paarikümne aasta jooksul märgatavalt, sest seda tooret hakatakse palju paremini väärindama, kusjuures uuenduslikud tooted suruvad puidugraanulid turult välja, ütleb Stora Enso puittoodete divisjoni juht Jari Suominen. 1288. aastal Rootsis asutatud ettevõtet peetakse maailma vanimaks äriühinguks. Siin ei ole suuri ja selgeid takistusi. Meie positsioon on Eestis üpris tugev, me oleme rahul oma ettevõtte toimimise ja eriti meeskonnaga. Ühel alal peame siiski väga teravalt silma peal hoidma: kust saada konkurentsivõimelise hinnaga kvaliteetset toorainet. Hinnad on viimastel aastatel tugevalt tõusnud, seda eriti Baltimaades, kuid seda riski on võimalik maandada hea juhtimise ja jätkusuutliku metsamajandamisega.",Ärileht,2019-09-30T21:05:05.000Z,https://arileht.delfi.ee/news/uudised/stora-enso-tippjuht-metsade-raiumine-paastab-maailma-ulekuumenemisest?id=87573775
"Janek Mäggi: koalitsioonile on täiesti ükskõik, mida ajalehed kirjutavad","Endine riigihaldusminister Janek Mäggi ütleb oma aastase ministrikogemuse põhjal, et riiki saab juhtida ainult läbi eelarve. Valitsussegi oleks ta uuesti läinud vaid siis, kui saanuks rahandusministri koha. ""Mind kritiseerisid ajakirjanikud ka, aga nendega pole ma kunagi tundnud sellist ebamugavustunnet. Ma olen ju ajakirjanik olnud ja see on töö, kus sa kunagi ei tea tõde lõpuni. Aga riigijuhtimisest õppisin seda küll ära, et ülevalt alla ei tohiks midagi halvasti öelda. Seevastu suvaline poetagune sopajoodik, kes ka ise tunnistab, et ta seda on, võib iga ministrit sõimata nii palju kui jõuab.""",Maaleht,2019-05-01T21:05:04.000Z,https://maaleht.delfi.ee/archive/janek-maggi-koalitsioonile-on-taiesti-ukskoik-mida-ajalehed-kirjutavad?id=86054729
"Metsanduse emeriitprofessor: loodus ei ole nii armetu, kui arvavad looduskaitsjad","„Nooruke ajakirjanik. Järelikult ajupestud,” muigab maaülikooli emeriitprofessor ja metsanduse elutööpreemia laureaat Artur Nilson, kui kohtume. Ta teab, et tema mõtted pole populaarsed ega lähe kokku ühiskondliku paradigmaga. Ökoloogiakonverentsidele pole ta oodatud. Matemaatilise mõtlejana on tema kujutlus metsade majandamisest liiga keeruline, et üldsust erutada. Meie võtame tema koduses kabinetis intervjuuks istet siiski avatud meeltega.",Eesti Päevaleht,2019-04-25T21:10:18.000Z,https://epl.delfi.ee/eesti/metsanduse-emeriitprofessor-loodus-ei-ole-nii-armetu-kui-arvavad-looduskaitsjad?id=86008627
"Ma ei uskunud, et tänapäeva Eestis veel niimoodi äri tehakse!","„Meil oli kaks WCd, dušši ei olnud. Veekuluks näidati aga 30 kantmeetrit kuus. See oli võimatult suur – me pidanuks kogu aja vett laskma!“ Ärimees Tauri Raja ei varja oma firma üürisuhtest rääkides nördimust. „Päris vastik keiss oli seal.“ Batuudikeskuse (osaühing Brilenor) juhataja Ardi Arus näitab jaanuari keskel Ekspressiga kohtudes termomeetrit. See räägib enda eest. Ruumides on vaid 14,5 kraadi sooja. Aruse sõnul oli pärast meie kohtumist ruumides päevade kaupa vaid 12 kraadi. Samas on Batuudikeskus mõeldud hullamiseks väikestele lastele. Praeguseks suletud Zelluloosi Bowlingu kliendid kurtsid sotsiaalmeedias, et keeglisaalis oli külm. „Aga kütmine polnud meie teha,“ märgib toda asutust vedanud endine laskesuusataja Dimitri Borovik. „Meie vaid üürisime pinda.“  Üürisuhtel on tema mälestustes mõru maik: „Nagu tuli uus omanik, nii suurendati kommunaalarveid. Sinna ilmusid suvalised kuluartiklid. Kui küsisime, kust need tulevad, siis öeldi, et kui meeldi, minge minema!“",Eesti Ekspress,2019-03-05T22:25:04.000Z,https://ekspress.delfi.ee/kuum/ma-ei-uskunud-et-tanapaeva-eestis-veel-niimoodi-ari-tehakse?id=85501421
VALIMISED | Artur Talvik: ma ei suuda nagu koer kõige peale klähvida,"Elurikkuse Erakonna juhatuse liige, endine Vabaera­kon­na esimees Artur Talvik leiab, et EKRE suure toetuse taga on osav propaganda ja sihitu ühiskondlik raev. ""Umbes kaks aastat tagasi sattusime Krista Aruga EKRE fraktsiooni. Siis küsisin, et kaua te jaksate seda kuramuse kurjust siin pritsida. Et kas see väsitav ei ole? Siis vanad ütlesid tuima näoga, et me pritsime veel, aga umbes pool aastat enne valimisi tõmbame valgemad kindad kätte. Ja nii ongi läinud! Nüüd kuulad, et mõnes küsimuses on Isamaa juba radikaalsem kui nemad. Nad üritavadki selliseks rahvaparteiks saada.""",Maaleht,2019-02-27T22:08:35.000Z,https://maaleht.delfi.ee/archive/valimised-artur-talvik-ma-ei-suuda-nagu-koer-koige-peale-klahvida?id=85449313
